Gene ID	source_id	Gene Name or Symbol	sense - male gametocyte - unique only	sense - female gametocyte - unique only	sense - male gametocyte	sense - female gametocyte
PF3D7_0414900	PF3D7_0414900.1	ARO	43.9	1.83	43.9	1.83
PF3D7_0415000	PF3D7_0415000.1	GET3	12.91	55.18	12.91	55.18
PF3D7_0415100	PF3D7_0415100.1	N/A	15.61	41.7	15.61	41.7
PF3D7_0415200	PF3D7_0415200.1	N/A	262.9	16.19	268.35	16.92
PF3D7_0415300	PF3D7_0415300.1	CRK3	328.52	138.21	329.21	138.27
PF3D7_0415400	PF3D7_0415400.1	N/A	54.76	48.2	54.76	48.2
PF3D7_0415500	PF3D7_0415500.1	CBP20	84.83	77.17	84.83	77.17
PF3D7_0415600	PF3D7_0415600.1	GAK	2.41	28.52	2.41	28.52
PF3D7_0415700	PF3D7_0415700.1	N/A	0.94	4.1	0.94	4.1
PF3D7_0415800	PF3D7_0415800.1	N/A	3.42	18.93	3.42	18.93
PF3D7_0415900	PF3D7_0415900.1	N/A	125.52	273.77	125.52	273.77
PF3D7_0416000	PF3D7_0416000.1	N/A	265.4	104.75	266.56	105.59
PF3D7_0416100	PF3D7_0416100.1	GATA	71.9	75.36	71.9	75.41
PF3D7_0416200	PF3D7_0416200.1	N/A	140.93	121.41	141.1	121.41
PF3D7_0416300	PF3D7_0416300.1	MCM9	22.8	79.5	22.84	79.53
PF3D7_0416400	PF3D7_0416400.1	HAT1	6.29	71.97	6.29	71.97
PF3D7_0416500	PF3D7_0416500.1	MAF1	33.83	41.89	33.83	41.89
PF3D7_0416600	PF3D7_0416600.1	PHBL	22.11	41.73	22.11	41.73
PF3D7_0416700	PF3D7_0416700.1	N/A	6.3	21.07	6.3	21.07
PF3D7_0416800	PF3D7_0416800.1	SAR1	144.46	143.91	144.46	143.91
PF3D7_0416900	PF3D7_0416900.1	N/A	15.11	17.45	15.11	17.45
PF3D7_0417000	PF3D7_0417000.1	N/A	9.78	216.67	9.78	216.67
PF3D7_0417100	PF3D7_0417100.1	PUF2	33.53	34.81	33.53	34.81
PF3D7_0417200	PF3D7_0417200.1	DHFR-TS	58.59	7.6	58.59	7.6
PF3D7_0417300	PF3D7_0417300.1	N/A	59.77	58.53	59.77	58.53
PF3D7_0417400	PF3D7_0417400.1	N/A	34.12	41.5	34.33	41.53
PF3D7_0417500	PF3D7_0417500.1	N/A	111.42	56.25	112.77	57.9
PF3D7_0417600	PF3D7_0417600.1	N/A	1717.19	79.54	1791.82	81.86
PF3D7_0417700	PF3D7_0417700.1	N/A	256.22	56.48	256.22	56.48
PF3D7_0417800	PF3D7_0417800.1	CRK1	153.04	53.99	153.04	53.99
PF3D7_0417900	PF3D7_0417900.1	N/A	680.45	62.67	680.45	62.67
PF3D7_0418000	PF3D7_0418000.1	N/A	383.93	29.78	384.22	29.79
PF3D7_0418100	PF3D7_0418100.1	SOC1	186.44	32.39	186.44	32.39
PF3D7_0418200	PF3D7_0418200.1	EIF3M	140.78	21.84	140.78	21.84
PF3D7_0418300	PF3D7_0418300.1	N/A	565.1	194.78	565.1	194.78
PF3D7_0418400	PF3D7_0418400.1	N/A	3.28	3.46	3.28	3.46
PF3D7_0418500	PF3D7_0418500.1	BET3	48.2	17.51	48.2	17.51
PF3D7_0418600	PF3D7_0418600.1	N/A	1.37	3.61	1.37	3.61
PF3D7_0418700	PF3D7_0418700.1	N/A	60.88	65.96	60.88	65.96
PF3D7_0418800	PF3D7_0418800.1	N/A	53.94	1781.92	53.94	1785.99
PF3D7_0418900	PF3D7_0418900.1	N/A	76.98	30.02	76.98	30.02
PF3D7_0419000	PF3D7_0419000.1	N/A	914.25	134.8	918.49	134.8
PF3D7_0419100	PF3D7_0419100.1	N/A	21.93	8.67	24.85	8.67
PF3D7_0419200	PF3D7_0419200.1	GOT1	25.25	27.11	25.25	27.11
PF3D7_0419300	PF3D7_0419300.1	N/A	8.42	19.82	8.42	19.82
PF3D7_0419400	PF3D7_0419400.1	N/A	4.35	10.26	4.35	10.26
PF3D7_0419500	PF3D7_0419500.1	N/A	8.58	7.45	8.58	7.45
PF3D7_0419600	PF3D7_0419600.1	RANBP1	395.06	196.05	395.06	196.05
PF3D7_0419700	PF3D7_0419700.1	Pf34	89.34	24.82	89.38	24.82
PF3D7_0419800	PF3D7_0419800.1	N/A	99.48	29.83	99.48	29.83
PF3D7_0419900	PF3D7_0419900.1	N/A	57.26	36.31	57.63	36.9
PF3D7_0420000	PF3D7_0420000.1	N/A	83.95	39.48	84.01	39.48
PF3D7_0420100	PF3D7_0420100.1	RIO2	85.42	69.78	85.42	70.75
PF3D7_0420200	PF3D7_0420200.1	ACPS	13.03	111.72	13.03	112.85
PF3D7_0420300	PF3D7_0420300.1	ApiAP2	51.7	52.09	51.7	52.1
PF3D7_0420400	PF3D7_0420400.1	RRF2	4.44	38.59	4.44	38.59
PF3D7_0420500	PF3D7_0420500.1	N/A	196.68	77	197.14	77.7
PF3D7_0420600	PF3D7_0420600.1	AKIT6	210.81	82.79	210.81	82.79
PF3D7_0420700	PF3D7_0420700.1	VAR	0.66	4.71	1.67	13.78
PF3D7_0420800	PF3D7_0420800.1	N/A	0	0	1.63	5.93
PF3D7_0420900	PF3D7_0420900.1	VAR	0.03	0.56	21.45	114.09
PF3D7_0421000	PF3D7_0421000.1	N/A	0	0	0	2.37
PF3D7_0421100	PF3D7_0421100.1	VAR	0.48	0.49	20.88	103.86
PF3D7_0421200	PF3D7_0421200.1	RIF	0.73	0.15	1.05	0.15
PF3D7_0421300	PF3D7_0421300.1	VAR	7.4	146.88	9.36	149.92
PF3D7_0421400	PF3D7_0421400.1	N/A	0	1.19	0	1.19
PF3D7_0421500	PF3D7_0421500.1	RIF	0.63	38.79	0.63	38.79
PF3D7_0421600	PF3D7_0421600.1	VAR	0.25	0	0.25	0
PF3D7_0421700	PF3D7_0421700.1	N/A	303.94	27.38	303.94	27.38
PF3D7_0421800	PF3D7_0421800.1	N/A	344.41	303.22	344.41	303.22
PF3D7_0421900	PF3D7_0421900.1	N/A	653.72	6581.3	654.21	6581.3
PF3D7_0422000	PF3D7_0422000.1	N/A	5.5	72.53	5.5	72.59
PF3D7_0422100	PF3D7_0422100.1	N/A	10.49	26.59	10.49	26.59
PF3D7_0422200	PF3D7_0422200.1	N/A	156.92	73.75	156.94	73.78
PF3D7_0422300	PF3D7_0422300.1	N/A	8193.89	164.59	8195.17	164.59
PF3D7_0422400	PF3D7_0422400.1	RPS19	80.8	83.79	81.38	83.79
PF3D7_0422500	PF3D7_0422500.1	BRR2	92.14	36.5	92.14	36.5
PF3D7_0422600	PF3D7_0422600.1	N/A	11.09	8.12	11.09	8.12
PF3D7_0422700	PF3D7_0422700.1	EIF4A3	68.36	27.7	68.36	27.7
PF3D7_0422800	PF3D7_0422800.1	SR12	3.01	13.71	3.01	13.71
PF3D7_0422900	PF3D7_0422900.1	N/A	125.77	110.07	126.97	110.07
PF3D7_0423000	PF3D7_0423000.1	N/A	15.31	74.33	15.31	74.33
PF3D7_0423100	PF3D7_0423100.1	N/A	101.53	90.05	101.61	90.05
PF3D7_0423200	PF3D7_0423200.1	N/A	46.28	42.98	46.28	42.98
PF3D7_0423300	PF3D7_0423300.1	N/A	714.63	877.28	714.67	877.35
PF3D7_0423400	PF3D7_0423400.1	AARP	15.01	39.99	15.41	40.11
PF3D7_0423500	PF3D7_0423500.1	GAPM2	190.46	254.38	190.46	254.38
PF3D7_0423600	PF3D7_0423600.1	N/A	94	58.21	102.61	62.01
PF3D7_0423700	PF3D7_0423700.1	ETRAMP4	68.28	6.01	68.28	6.01
PF3D7_0423800	PF3D7_0423800.1	CyRPA	15.02	1.23	15.02	1.23
PF3D7_0423900	PF3D7_0423900.1	N/A	0.26	0	0.26	0
PF3D7_0424000	PF3D7_0424000.1	N/A	2.24	1.63	2.24	1.63
PF3D7_0424100	PF3D7_0424100.1	RH5	0.73	0.07	0.73	0.07
PF3D7_0424200	PF3D7_0424200.1	RH4	0.29	0.06	0.29	0.06
PF3D7_0424300	PF3D7_0424300.1	EBA165	0.86	0.19	0.86	0.19
PF3D7_0424400	PF3D7_0424400.1	SURF4.2	2.97	0.32	2.97	0.34
PF3D7_0424500	PF3D7_0424500.1	FIKK4.1	5.69	0.12	5.69	0.12
PF3D7_0424600	PF3D7_0424600.1	N/A	0.34	0.04	0.34	0.04
PF3D7_0424700	PF3D7_0424700.1	FIKK4.2	0.26	0.14	0.26	0.14
PF3D7_0424800	PF3D7_0424800.1	N/A	0.49	0	0.49	0
PF3D7_0424900	PF3D7_0424900.1	N/A	1.91	0	1.91	0
PF3D7_0425000	PF3D7_0425000.1	N/A	0.39	0.14	0.39	0.14
PF3D7_0425050	PF3D7_0425050.1	N/A	0	0.36	0	0.36
PF3D7_0425100	PF3D7_0425100.1	N/A	0.79	0	0.79	0
PF3D7_0425200	PF3D7_0425200.1	N/A	0.44	0	0.44	0
PF3D7_0425250	PF3D7_0425250.1	N/A	3.8	0	3.8	0
PF3D7_0425300	PF3D7_0425300.1	N/A	1.7	0	1.7	0
PF3D7_0425400	PF3D7_0425400.1	N/A	0.15	0.23	0.15	0.23
PF3D7_0425500	PF3D7_0425500.1	N/A	0	0	0.24	0
PF3D7_0425600	PF3D7_0425600.1	RIF	0	0	1.75	0
PF3D7_0425700	PF3D7_0425700.1	RIF	0.23	0.16	0.23	0.16
PF3D7_0425800	PF3D7_0425800.1	VAR	0.53	1.44	0.53	1.44
PF3D7_0425900	PF3D7_0425900.1	RIF	0.57	3.23	0.57	3.23
PF3D7_0426000	PF3D7_0426000.1	VAR	6.73	22.01	21.9	38.57
PF3D7_0500100	PF3D7_0500100.1	VAR	27.15	23.37	32.78	29.41
PF3D7_0500200	PF3D7_0500200.1	N/A	0	0	0	0
PF3D7_0500300	PF3D7_0500300.1	RIF	0.1	0	0.1	0
PF3D7_0500400	PF3D7_0500400.1	RIF	0.2	0.14	0.2	0.14
PF3D7_0500500	PF3D7_0500500.1	RIF	0.24	0.17	0.24	0.17
PF3D7_0500600	PF3D7_0500600.1	N/A	1.53	0.35	1.53	0.35
PF3D7_0500700	PF3D7_0500700.1	RIF	4.22	0	4.22	0
PF3D7_0500800	PF3D7_0500800.1	MESA	582.57	11.74	646.46	13.36
PF3D7_0500900	PF3D7_0500900.1	FIKK5	0.69	0.07	0.69	0.07
PF3D7_0501000	PF3D7_0501000.1	N/A	7.29	0.63	7.29	0.63
PF3D7_0501100	PF3D7_0501100.1	HSP40	2.54	0.64	2.54	0.64
PF3D7_0501100	PF3D7_0501100.2	HSP40	2.54	0.64	2.54	0.64
PF3D7_0501200	PF3D7_0501200.1	PIESP2	6.79	2.29	6.79	2.29
PF3D7_0501300	PF3D7_0501300.1	SBP1	3.79	2.12	3.79	2.12
PF3D7_0501400	PF3D7_0501400.1	FIRA	73.38	20.03	93.3	25.13
PF3D7_0501500	PF3D7_0501500.1	RAP3	2.09	0.44	2.09	0.44
PF3D7_0501600	PF3D7_0501600.1	RAP2	1.8	1.19	1.8	1.19
PF3D7_0501700	PF3D7_0501700.1	APC3	60.42	5.44	60.42	5.44
PF3D7_0501800	PF3D7_0501800.1	CAF1A	236.91	34.05	238.05	34.05
PF3D7_0501900	PF3D7_0501900.1	TRAPPC13	17.8	15.51	17.8	15.51
PF3D7_0502000	PF3D7_0502000.1	VPS11	7.46	6.08	7.46	6.08
PF3D7_0502100	PF3D7_0502100.1	N/A	10.13	24.73	10.13	24.73
PF3D7_0502200	PF3D7_0502200.1	MPV17	14.55	16.27	14.55	16.27
PF3D7_0502300	PF3D7_0502300.1	N/A	41.23	1291.75	41.23	1291.75
PF3D7_0502400	PF3D7_0502400.1	MSP8	28.1	8.01	28.1	8.01
PF3D7_0502500	PF3D7_0502500.1	N/A	45.21	8.25	45.27	8.25
PF3D7_0502600	PF3D7_0502600.1	N/A	317.73	22.96	318.05	22.96
PF3D7_0502700	PF3D7_0502700.1	N/A	9.18	14.19	9.53	14.19
PF3D7_0502800	PF3D7_0502800.1	N/A	10.7	69.82	10.7	69.82
PF3D7_0502900	PF3D7_0502900.1	N/A	61.34	215.45	61.34	215.45
PF3D7_0503000	PF3D7_0503000.1	N/A	166.2	1092.84	166.2	1093.36
PF3D7_0503100	PF3D7_0503100.1	IspE	24.75	2.48	24.75	2.48
PF3D7_0503200	PF3D7_0503200.1	CDC6	570.22	504.11	570.22	504.11
PF3D7_0503300	PF3D7_0503300.1	SRSF12	358.21	92.75	358.57	92.75
PF3D7_0503400	PF3D7_0503400.1	ADF1	20.83	296.92	20.83	296.92
PF3D7_0503500	PF3D7_0503500.1	N/A	3.55	33.72	3.55	33.72
PF3D7_0503600	PF3D7_0503600.1	MyoB	5.01	12.19	5.01	12.19
PF3D7_0503800	PF3D7_0503800.1	RPL31	132.79	96.14	132.79	96.14
PF3D7_0503900	PF3D7_0503900.1	N/A	0.28	0.46	0.28	0.46
PF3D7_0504000	PF3D7_0504000.1	ATPase3	0.75	0.29	0.87	0.29
PF3D7_0504100	PF3D7_0504100.1	N/A	11.15	134.53	11.15	134.53
PF3D7_0504200	PF3D7_0504200.1	DDX27	3.14	37.28	3.14	37.28
PF3D7_0504300	PF3D7_0504300.1	N/A	76.29	54.88	76.29	54.88
PF3D7_0504400	PF3D7_0504400.1	N/A	21.78	33.37	21.78	33.37
PF3D7_0504500	PF3D7_0504500.1	N/A	128.9	3669.84	130.19	3678.81
PF3D7_0504600	PF3D7_0504600.1	BCKDHB	27.06	101.08	27.24	101.08
PF3D7_0504700	PF3D7_0504700.1	CEP120	460.13	361.96	516.15	410.41
PF3D7_0504800	PF3D7_0504800.1	N/A	37.27	22.41	37.46	22.73
PF3D7_0504900	PF3D7_0504900.1	N/A	279.95	1032.07	285.75	1041.56
PF3D7_0505000	PF3D7_0505000.1	N/A	36.04	11.01	36.75	11.16
PF3D7_0505100	PF3D7_0505100.1	TRS85	26.61	25.56	26.61	25.56
PF3D7_0505200	PF3D7_0505200.1	ALP2b	1.63	23.44	1.63	23.44
PF3D7_0505300	PF3D7_0505300.1	N/A	0.4	0.06	0.4	0.06
PF3D7_0505400	PF3D7_0505400.1	N/A	53.19	44.45	53.19	44.45
PF3D7_0505500	PF3D7_0505500.1	MSH6	219.05	23.24	219.05	23.24
PF3D7_0505600	PF3D7_0505600.1	N/A	45	45.99	45	45.99
PF3D7_0505700	PF3D7_0505700.1	N/A	117.64	148.99	117.93	148.99
PF3D7_0505800	PF3D7_0505800.1	SUMO	160.33	37.68	160.33	37.68
PF3D7_0505900	PF3D7_0505900.1	MED11	354.24	40.41	362.22	40.41
PF3D7_0506000	PF3D7_0506000.1	N/A	8.97	20.62	8.97	20.62
PF3D7_0506100	PF3D7_0506100.1	N/A	100.04	132.18	100.26	132.44
PF3D7_0506200	PF3D7_0506200.1	TBP	15.31	42.18	15.31	42.18
PF3D7_0506300	PF3D7_0506300.1	N/A	16.51	2.33	16.51	2.33
PF3D7_0506400	PF3D7_0506400.1	N/A	571.04	2994.65	573.75	3025.67
PF3D7_0506500	PF3D7_0506500.1	N/A	706.74	125.88	725.04	127.54
PF3D7_0506600	PF3D7_0506600.1	N/A	0	0	0	0
PF3D7_0506700	PF3D7_0506700.1	N/A	31.01	53.06	31.01	53.41
PF3D7_0506800	PF3D7_0506800.1	TCF25	49.1	35.09	49.1	35.38
PF3D7_0506900	PF3D7_0506900.1	ROM4	39.68	883.27	39.68	883.27
PF3D7_0507000	PF3D7_0507000.1	N/A	48.85	18.15	48.85	18.15
PF3D7_0507100	PF3D7_0507100.1	RPL4	103.13	153.31	103.13	153.31
PF3D7_0507200	PF3D7_0507200.1	SUB3	2.54	12.4	2.54	12.67
PF3D7_0507300	PF3D7_0507300.1	SOPT	19.75	0.52	19.75	0.52
PF3D7_0507400	PF3D7_0507400.1	SUB1-ProM	0.79	2.58	0.79	2.58
PF3D7_0507500	PF3D7_0507500.1	SUB1	0.72	1.74	0.72	1.74
PF3D7_0507600	PF3D7_0507600.1	CAF40	40.11	21.46	40.11	21.46
PF3D7_0507700	PF3D7_0507700.1	NPL4	48.98	38.85	48.98	38.85
PF3D7_0507800	PF3D7_0507800.1	N/A	98.44	38.86	101.34	40.12
PF3D7_0507900	PF3D7_0507900.1	N/A	1.52	36.63	1.52	36.63
PF3D7_0508000	PF3D7_0508000.1	P38	19.48	175.32	19.58	184.28
PF3D7_0508100	PF3D7_0508100.1	SET9	42.54	47.13	42.54	47.13
PF3D7_0508200	PF3D7_0508200.1	N/A	37.24	137.03	37.24	137.03
PF3D7_0508300	PF3D7_0508300.1	TPT	5.71	5.9	5.77	5.9
PF3D7_0508400	PF3D7_0508400.1	N/A	1202.83	21.08	1203.03	21.08
PF3D7_0508500	PF3D7_0508500.1	ND6	11.25	15.02	11.25	15.02
PF3D7_0508600	PF3D7_0508600.1	N/A	66.93	257.71	66.93	257.71
PF3D7_0508700	PF3D7_0508700.1	PRP5	124.1	128.91	124.1	128.91
PF3D7_0508800	PF3D7_0508800.1	SSB	4.62	53.86	4.62	53.92
PF3D7_0508900	PF3D7_0508900.1	AAP6	244.2	251.05	245.21	253.11
PF3D7_0509000	PF3D7_0509000.1	alphaSNAP	118.62	124.06	118.62	124.06
PF3D7_0509100	PF3D7_0509100.1	SMC4	749.06	46.7	749.06	46.7
PF3D7_0509200	PF3D7_0509200.1	LRR2	181.68	21.09	181.68	21.09
PF3D7_0509300	PF3D7_0509300.1	N/A	55.88	27.94	55.88	27.94
PF3D7_0509400	PF3D7_0509400.1	RNAPI	5.62	14.88	5.62	14.88
PF3D7_0509500	PF3D7_0509500.1	N/A	2.26	41.19	2.26	41.19
PF3D7_0509600	PF3D7_0509600.1	AsnRS	44.69	86.78	44.69	86.78
PF3D7_0509700	PF3D7_0509700.1	N/A	20.26	751.51	20.26	752.86
PF3D7_0509800	PF3D7_0509800.1	PI4KB	88.08	60.3	88.15	60.3
PF3D7_0509900	PF3D7_0509900.1	N/A	3.29	5.15	3.29	5.15
PF3D7_0510000	PF3D7_0510000.1	N/A	213.43	58.69	277.48	78.76
PF3D7_0510100	PF3D7_0510100.1	N/A	91.56	10.18	91.56	10.18
PF3D7_0510200	PF3D7_0510200.1	CYP87	42.43	19.17	42.43	19.17
PF3D7_0510300	PF3D7_0510300.1	SIP	120.36	189.89	120.36	189.89
PF3D7_0510400	PF3D7_0510400.1	N/A	6.63	1.61	6.63	1.61
PF3D7_0510500	PF3D7_0510500.1	TopoI	209.12	42.93	209.12	42.93
PF3D7_0510600	PF3D7_0510600.1	N/A	2.75	0	2.75	0
PF3D7_0510700	PF3D7_0510700.1	N/A	10.39	280.92	10.39	280.92
PF3D7_0510800	PF3D7_0510800.1	N/A	234.7	80.75	234.7	80.75
PF3D7_0510900	PF3D7_0510900.1	N/A	10.02	5.07	10.02	5.07
PF3D7_0511000	PF3D7_0511000.1	TCTP	61	1271.66	61	1271.66
PF3D7_0511100	PF3D7_0511100.1	N/A	39.08	505.35	39.08	506.68
PF3D7_0511200	PF3D7_0511200.1	SCD	65.22	88.67	65.22	88.79
PF3D7_0511300	PF3D7_0511300.1	N/A	10.31	12.88	10.31	12.88
PF3D7_0511400	PF3D7_0511400.1	N/A	24.15	4.61	24.15	4.61
PF3D7_0511500	PF3D7_0511500.1	N/A	124.35	50.82	124.35	50.82
PF3D7_0511600	PF3D7_0511600.1	ARNP	0.08	0.24	0.08	0.24
PF3D7_0511700	PF3D7_0511700.1	CGI121	0.18	0.17	0.18	0.17
PF3D7_0511800	PF3D7_0511800.1	INO1	82.39	480.43	82.39	480.43
PF3D7_0511900	PF3D7_0511900.1	N/A	5.86	0.29	5.9	0.35
PF3D7_0512000	PF3D7_0512000.1	PFD6	238.44	197.12	240.12	198.49
PF3D7_0512100	PF3D7_0512100.1	N/A	79.07	214.59	79.07	214.59
PF3D7_0512200	PF3D7_0512200.1	GS	15.06	22.96	15.06	22.96
PF3D7_0512300	PF3D7_0512300.1	MAT1	36.44	6.69	36.44	6.69
PF3D7_0512400	PF3D7_0512400.1	N/A	27.88	12.72	27.88	12.72
PF3D7_0512450	PF3D7_0512450.1	N/A	3.92	11.38	3.92	11.38
PF3D7_0512500	PF3D7_0512500.1	N/A	29.39	26.87	29.39	26.87
PF3D7_0512600	PF3D7_0512600.1	RAB1b	84.53	358.94	84.53	361.67
PF3D7_0512700	PF3D7_0512700.1	OPRT	31.53	16.31	31.53	16.31
PF3D7_0512800	PF3D7_0512800.1	N/A	5.94	24.15	5.94	24.15
PF3D7_0512900	PF3D7_0512900.1	AKAL	5.29	6.22	5.29	6.22
PF3D7_0513000	PF3D7_0513000.1	N/A	18.45	352.7	18.45	352.7
PF3D7_0513100	PF3D7_0513100.1	N/A	73.74	508.87	73.74	508.87
PF3D7_0513200	PF3D7_0513200.1	N/A	64.45	16.96	66.39	17.44
PF3D7_0513300	PF3D7_0513300.1	PNP	6.92	84.51	6.92	84.51
PF3D7_0513400	PF3D7_0513400.1	YihA1	29.16	18.72	29.16	18.72
PF3D7_0513500	PF3D7_0513500.1	PAM16	65.38	48.32	65.38	48.32
PF3D7_0513600	PF3D7_0513600.1	N/A	100.8	190.88	102.5	194.2
PF3D7_0513700	PF3D7_0513700.1	PSOP12	73.27	269.29	73.27	269.29
PF3D7_0513800	PF3D7_0513800.1	RAB1a	39.06	199.86	39.06	199.86
PF3D7_0513900	PF3D7_0513900.1	N/A	6.05	9.66	6.05	9.66
PF3D7_0514000	PF3D7_0514000.1	TTL	177.63	79.37	178.52	79.37
PF3D7_0514100	PF3D7_0514100.1	UvrD	27.77	33.96	27.93	33.96
PF3D7_0514200	PF3D7_0514200.1	N/A	34.7	26.06	34.7	26.06
PF3D7_0514300	PF3D7_0514300.1	N/A	34.52	37.91	35.32	39.22
PF3D7_0514400	PF3D7_0514400.1	N/A	0	0	0	0
PF3D7_0514500	PF3D7_0514500.1	N/A	105.62	1169.28	105.62	1169.58
PF3D7_0514600	PF3D7_0514600.1	N/A	24.75	58.99	24.75	59.07
PF3D7_0514700	PF3D7_0514700.1	N/A	215.96	5.23	218.26	5.4
PF3D7_0514800	PF3D7_0514800.1	N/A	6.96	8.24	6.96	8.24
PF3D7_0514900	PF3D7_0514900.1	N/A	20.6	22.05	20.6	22.05
PF3D7_0515000	PF3D7_0515000.1	CWC2	133.81	57.8	133.84	57.8
PF3D7_0515100	PF3D7_0515100.1	ROM9	6.35	36.65	6.35	36.65
PF3D7_0515200	PF3D7_0515200.1	N/A	44.71	28.14	44.71	28.14
PF3D7_0515300	PF3D7_0515300.1	PI3K	25.56	43.15	25.56	43.15
PF3D7_0515400	PF3D7_0515400.1	N/A	21.73	312.59	21.73	312.79
PF3D7_0515500	PF3D7_0515500.1	GEP1	152.83	72.69	152.83	72.69
PF3D7_0515600	PF3D7_0515600.1	GEP	434.8	320.57	436.16	321.26
PF3D7_0515700	PF3D7_0515700.1	GAP40	110.67	181.5	110.67	181.5
PF3D7_0515800	PF3D7_0515800.1	N/A	7.46	37.49	7.46	37.49
PF3D7_0515900	PF3D7_0515900.1	NIF2	21.34	13.08	21.34	13.08
PF3D7_0516000	PF3D7_0516000.1	N/A	13.44	15.81	13.44	15.81
PF3D7_0516100	PF3D7_0516100.1	ATPase1	7.89	15.56	7.89	15.56
PF3D7_0516200	PF3D7_0516200.1	RPS11	110.7	172.59	110.7	172.59
PF3D7_0516300	PF3D7_0516300.1	N/A	7.59	29.63	7.73	29.67
PF3D7_0516400	PF3D7_0516400.1	PhLP1	85.34	362.84	85.34	362.84
PF3D7_0516500	PF3D7_0516500.1	MFS1	71.81	2801.92	71.81	2805.17
PF3D7_0516600	PF3D7_0516600.1	MB2	34.2	17.39	34.2	17.39
PF3D7_0516700	PF3D7_0516700.1	N/A	52.68	10.59	52.7	10.59
PF3D7_0516800	PF3D7_0516800.1	ApiAP2	122.19	204.96	122.43	205.15
PF3D7_0516900	PF3D7_0516900.1	RPL2	194.22	193.81	194.22	193.81
PF3D7_0517000	PF3D7_0517000.1	N/A	72.26	111.64	72.46	111.93
PF3D7_0517100	PF3D7_0517100.1	N/A	5.87	11.96	6.07	12.26
PF3D7_0517200	PF3D7_0517200.1	N/A	22.18	97.66	22.18	97.66
PF3D7_0517300	PF3D7_0517300.1	SR1	93.83	76.82	93.83	76.82
PF3D7_0517400	PF3D7_0517400.1	FACT-L	484.1	74.42	484.1	74.42
PF3D7_0517500	PF3D7_0517500.1	N/A	10.62	137.92	10.62	137.92
PF3D7_0517600	PF3D7_0517600.1	CPbeta	3.4	48.54	3.4	48.54
PF3D7_0517700	PF3D7_0517700.1	EIF3B	62.62	55.88	62.62	55.88
PF3D7_0517800	PF3D7_0517800.1	DCX	92.6	1447.02	92.6	1447.02
PF3D7_0517900	PF3D7_0517900.1	N/A	84.9	38.06	84.9	38.06
PF3D7_0518000	PF3D7_0518000.1	N/A	114.61	214.69	114.78	214.69
PF3D7_0518100	PF3D7_0518100.1	AMR2	14.93	33.35	14.93	33.45
PF3D7_0518200	PF3D7_0518200.1	MDM2	22.08	75.68	22.08	75.68
PF3D7_0518300	PF3D7_0518300.1	N/A	41.43	13.2	41.43	13.2
PF3D7_0518400	PF3D7_0518400.1	CYC3	330.56	29.93	330.56	29.93
PF3D7_0518500	PF3D7_0518500.1	DDX23	204.93	63.27	204.93	63.27
PF3D7_0518600	PF3D7_0518600.1	WDR26	375.61	116.8	375.61	116.8
PF3D7_0518700	PF3D7_0518700.1	PUF1	357.76	96.45	369.81	99.24
PF3D7_0518800	PF3D7_0518800.1	PSOP13	350.46	8648.03	351.16	8710.29
PF3D7_0518900	PF3D7_0518900.1	N/A	8.32	4.93	8.32	4.93
PF3D7_0519000	PF3D7_0519000.1	SLBP	26.92	13.81	26.92	13.81
PF3D7_0519100	PF3D7_0519100.1	N/A	20.72	41.68	20.72	41.68
PF3D7_0519200	PF3D7_0519200.1	N/A	167.48	537.79	168.04	546.74
PF3D7_0519300	PF3D7_0519300.1	COX10	4.39	31.08	4.39	31.08
PF3D7_0519400	PF3D7_0519400.1	RPS24	138.64	106.2	138.64	106.2
PF3D7_0519500	PF3D7_0519500.1	CCR4-1	127.85	49.39	128.26	49.39
PF3D7_0519600	PF3D7_0519600.1	N/A	18.26	16.7	18.59	17.55
PF3D7_0519700	PF3D7_0519700.1	N/A	90.97	17.36	90.97	17.36
PF3D7_0519800	PF3D7_0519800.1	N/A	128.29	63.31	128.29	63.31
PF3D7_0519900	PF3D7_0519900.1	N/A	12.73	23.14	12.73	23.14
PF3D7_0520000	PF3D7_0520000.1	RPS9	111.98	129.99	111.98	129.99
PF3D7_0520100	PF3D7_0520100.1	PPM9	112.1	17.24	113.59	17.24
PF3D7_0520200	PF3D7_0520200.1	MED17	36.17	13.04	36.17	13.04
PF3D7_0520300	PF3D7_0520300.1	LSM2	40.96	20.43	40.96	20.43
PF3D7_0520400	PF3D7_0520400.1	N/A	2.59	15.5	2.59	15.5
PF3D7_0520500	PF3D7_0520500.1	N/A	2.5	8.41	2.5	8.41
PF3D7_0520600	PF3D7_0520600.1	Ap4AH	50.83	14.84	50.83	14.84
PF3D7_0520700	PF3D7_0520700.1	N/A	4.91	7.37	4.91	7.37
PF3D7_0520800	PF3D7_0520800.1	N/A	16.86	1.8	16.86	1.8
PF3D7_0520900	PF3D7_0520900.1	SAHH	23.21	17.86	23.21	17.86
PF3D7_0521000	PF3D7_0521000.1	N/A	486.96	106.76	486.96	106.76
PF3D7_0521100	PF3D7_0521100.1	N/A	48.43	1.54	48.43	1.54
PF3D7_0521200	PF3D7_0521200.1	N/A	44.96	20.62	44.96	20.62
PF3D7_0521300	PF3D7_0521300.1	N/A	110.01	39.75	110.43	39.75
PF3D7_0521400	PF3D7_0521400.1	N/A	13.24	9.47	13.24	9.47
