	Accession ID	Gene ID	Product Description	Neighbours	essential	Degree	Betweenness Centrality	Closeness Centrality
81	O00806	PF3D7_0309600	60S acidic ribosomal protein P2	['Q8IIB4', 'Q8IAX6', 'Q8I3R0', 'Q8IJX8', 'Q8IIM8', 'Q8IET7', 'Q8IL02', 'Q8ID28', 'Q8ILL3', 'Q8IAX5', 'O97313', 'Q8IIV2', 'Q8IIX0', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8IDN6', 'Q8I0P6', 'C6KT23', 'C0H5C2', 'Q8IM10', 'O97249', 'Q8IAX8', 'Q8I0V4', 'A0A144A1R5', 'Q8ILL2', 'Q8IFP2', 'Q8ILK3', 'Q8IKM5', 'Q8IDR9', 'Q8II61', 'Q8IIU8', 'Q8IFM9', 'Q8IKH8', 'Q8I3T8']	True	35	0.008972500540894358	0.3714831932885297
82	Q8IJN9	PF3D7_1015600	heat shock protein 60	['Q8IEA6', 'P27362', 'O96220', 'Q8IE66', 'Q8II43', 'Q8I6U7', 'Q8IL11', 'Q8ID43', 'C6KTA4', 'O97247', 'Q8ILA4', 'C6KST5', 'Q8IFP3', 'Q8II24', 'Q6ZLZ9', 'O77323', 'Q8III6', 'Q8IBR6', 'Q8I2X4', 'Q8IDG2', 'C0H5H0', 'C6KTA3', 'O97282', 'Q8IBS3', 'Q8IJW0', 'Q7KQL9', 'Q8IBI3', 'P61076', 'Q8IKW5', 'Q8I5C4', 'Q8I6T3', 'Q8I566', 'P50250', 'Q8IKT2', 'C0H5I7', 'Q8IC01']	True	36	0.02337696571673866	0.38077995724986935
83	Q8ILI6	PF3D7_1427900	leucine-rich repeat protein	['Q8I5Y9', 'Q76NN6', 'A0A144A3N9', 'Q8I2W3', 'Q8ILB6', 'Q8I5H2', 'Q8I3J0', 'Q8IIR7', 'C0H4U4']	True	9	0.00256535174829684	0.30405327144265165
84	Q8I3N3	PF3D7_0523100	mitochondrial-processing peptidase subunit alpha, putative	['Q8IL75', 'O96252', 'C6KT09', 'Q8I2I2', 'Q8I323']	True	5	0.0015993086568246954	0.3050693224750415
85	C0H5C2	PF3D7_1317800	40S ribosomal protein S19	['A0A144A3N9', 'Q8IIB4', 'A0A5K1K8V8', 'Q8IEK3', 'Q8IKW5', 'Q8IAX6', 'Q8I3R0', 'Q8IJX8', 'Q8IIM8', 'Q8IJV6', 'Q8I323', 'Q8IL02', 'Q8ILL3', 'Q76NM6', 'Q8IAX5', 'Q8I603', 'O97313', 'Q8IIA2', 'Q8IK15', 'Q8IIV2', 'K7NTP5', 'C6KT18', 'C0H4A6', 'Q8IBY4', 'Q8I3T8', 'O00806', 'Q8I0P6', 'Q8I492', 'B9ZSJ2', 'Q8IJC6', 'Q8IM10', 'Q8ILV5', 'Q8IET7', 'Q8IDK7', 'O77381', 'Q8IB24', 'Q8IL58', 'Q8ILL2', 'C6KTA4', 'Q8I0V2', 'Q8ILK3', 'Q8IKM5', 'Q8IDB0', 'Q8IDR9', 'Q6ZMA8', 'Q8II61', 'Q8IEQ1', 'Q8IIU8', 'Q8IKH8', 'Q8IIV1', 'C6KT09', 'Q8IE10']	True	52	0.020565610649729154	0.4112252015795323
86	P62203	PF3D7_1434200	calmodulin	['Q8IKV9']	True	1	0.0	0.0026246719160104987
87	Q9NLB2	PF3D7_0306300	glutaredoxin 1	['Q8IL80']	True	1	0.0	0.17874105678053093
88	O77323	PF3D7_0308200	T-complex protein 1 subunit eta	['Q8IBR6', 'C6KST3', 'Q8I566', 'C6KST5', 'Q8IBI3', 'Q8II82', 'O97247', 'Q8I5B6', 'Q8II43', 'Q8IDZ8', 'Q6ZLZ9', 'O96220', 'Q8I2X4', 'C0H5H0', 'Q8IJN9', 'Q8IDG2', 'Q8II24', 'Q8IDG3', 'Q8IKC9', 'C0H5I7', 'Q8II61', 'Q8I5C4', 'O97282', 'C6KSV2', 'Q8IFP3', 'Q8IKW5']	True	26	0.003984694991539439	0.37110566971811454
89	Q8IIR9	PF3D7_1108400	casein kinase 2, alpha subunit	['Q76NN6', 'Q8I608']	True	2	0.0	0.26615741909812296
90	C6KT23	PF3D7_0618300	60S ribosomal protein L27a, putative	['Q8IJC6', 'Q8IAX6', 'Q8IJX8', 'C0H4A6', 'Q8IJV6', 'Q8ILL3', 'Q8ILL2', 'C6KT19', 'Q8IIA2', 'A0A5K1K8V8', 'Q8ILK3', 'Q8IKF0', 'Q8IDB0', 'Q8IB14', 'Q8IJ34', 'O00806', 'Q8I431', 'Q9TY99', 'Q8IM10', 'Q8IDK7', 'O77381', 'Q8IL58', 'Q8IKX4', 'Q8IIU8', 'Q8I463']	True	25	0.0022035987587441957	0.3393754451697255
91	Q8IET7	PF3D7_1302800	40S ribosomal protein S7, putative	['Q8IKV8', 'O00806', 'O97313', 'Q8I0P6', 'Q8IKR1', 'Q8IAX6', 'C0H4A6', 'Q8IDR9', 'Q8IM10', 'A0A5K1K8V8', 'K7NTP5', 'Q8I3T8', 'Q8ILL2', 'C0H5C2', 'Q8IAX5', 'Q8I603', 'Q8IKM5', 'Q8IB24', 'Q8II61', 'Q8IKH8', 'Q8IAX8', 'Q8IIB4', 'Q8IJX8', 'Q8IIM8']	True	24	0.0022562030063601594	0.35977140788435924
92	Q8I5P5	PF3D7_1216200	glycerol-3-phosphate dehydrogenase [NAD(+)], putative	['Q8IKT2', 'Q76NM3', 'Q8IFP3', 'Q6ZLZ9', 'Q8IE66']	True	5	4.994566337351192e-05	0.3050693224750415
93	A0A5K1K7U1	PF3D7_0518300	proteasome subunit beta type-1, putative	['O77396', 'Q8IDG2', 'Q8I261', 'Q8II71', 'Q8IDG3', 'Q8IAR3', 'Q8IKC9', 'Q8I0U7', 'O96153', 'Q8IJW0', 'Q7K6A9', 'Q8I323', 'Q8IK90', 'A0A5K1K9F3', 'Q8IJT1', 'Q8IBI3', 'Q8IJM0', 'Q8IJA0', 'C0H5H0', 'Q8I6T3', 'C6KST3', 'C6KT34']	True	22	0.001656262891542926	0.33687082933821466
94	Q8IIV8	PF3D7_1104400	thioredoxin-like mero protein	['Q8IKB2', 'C0H5H0']	True	2	0.0	0.30660619563612485
95	Q8IEQ1	PF3D7_1306400	26S protease regulatory subunit 10B, putative	['Q8IIA2', 'Q8IJM0', 'Q8IAR6', 'Q7KQL5', 'O97313', 'Q8ILE3', 'Q8I1V1', 'Q8ILI2', 'Q8I2X4', 'C0H5H0', 'Q8I0V4', 'Q8I323', 'Q8I0V2', 'Q8IM10', 'Q8IKW5', 'Q8I5M9', 'Q7K6A5', 'Q8IDB0', 'C0H5C2', 'Q8ILL3', 'Q8IAX5', 'Q8IEK3']	True	22	0.00935743938447725	0.3745312605155125
96	C0H4W2	PF3D7_0819900	U6 snRNA-associated Sm-like protein LSm3, putative	['Q8I3Q7', 'Q76NN6', 'Q8I5V6']	True	3	0.0	0.26654597007490854
97	Q8I2W4	PF3D7_0918900	gamma-glutamylcysteine synthetase	['C0H551']	True	1	0.0	0.0026246719160104987
98	A0A5K1K8W5	PF3D7_0513700	secreted ookinete protein, putative	['Q8IKV8', 'Q8I0V2']	True	2	0.00018955744841401713	0.29330761365672664
99	Q8IKM5	PF3D7_1460700	60S ribosomal protein L27	['Q8IIU8', 'Q8II61', 'Q8IE10', 'Q8IJV6', 'Q8IJC6', 'Q8IIV1', 'Q8IM10', 'C6KT25', 'O77381', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8ID28', 'Q8I3T8', 'Q8I431', 'Q8ILL2', 'Q8ILK3', 'Q8IIB4', 'Q8IC05', 'Q8IIV2', 'Q8IKH8', 'Q8IIA2', 'Q8IK15', 'Q8IAX6', 'C0H4A6', 'Q8IAX8', 'Q8IBV7', 'Q8IDR9', 'Q8IKW5', 'Q8IET7', 'Q8I323', 'Q8II24', 'B9ZSJ2', 'Q8IL02', 'Q8IFP2', 'Q8ILL3', 'O00806', 'Q8I3R0', 'O97313', 'Q8I0P6', 'Q8IDB0', 'C0H5C2', 'Q8IAX5', 'Q8IEK3', 'Q8IIM8', 'Q8IB24']	True	46	0.009119105126335372	0.4080089150867315
100	Q8ID28	PF3D7_1368100	26S proteasome regulatory subunit RPN11, putative	['Q8IL02', 'C0H4V6', 'Q8II24', 'Q8ILL3', 'Q8IL58', 'O00806', 'Q8IKH3', 'Q8I3R0', 'Q8ILK3', 'Q8IKM5', 'Q8IJ34', 'O77381', 'Q8IKV8', 'Q8I280', 'Q8I431', 'C0H4A6', 'Q8I4U5']	True	17	0.004995589316924925	0.3559142095542151
101	Q8I608	PF3D7_1203700	nucleosome assembly protein	['Q76NN6', 'Q8I5H2', 'Q8IIR9', 'Q8I2W3']	True	4	0.0001918161038699511	0.26654597007490854
102	Q8IL94	PF3D7_1437200	ribonucleoside-diphosphate reductase large subunit, putative	['Q8IDB0', 'Q8IE10', 'Q8IIA2', 'Q8IDK7']	True	4	0.0	0.31025316822652904
103	Q8I3M5	PF3D7_0524000	karyopherin beta	['Q8IAY9', 'O77312', 'Q8IC01', 'Q8IIV1', 'Q8ILI2']	True	5	0.008439381025942308	0.31025316822652904
104	Q8IC01	PF3D7_0708800	heat shock protein 110	['Q8IDK7', 'Q6ZMA8', 'Q8I5C4', 'Q8III6', 'C6KST5', 'Q8I2J3', 'O96220', 'Q8IHY0', 'Q8IL11', 'Q8IJM0', 'O97282', 'Q8IKW5', 'Q76NM3', 'Q8I3M5', 'C6KTA4', 'A0A5K1K963', 'A0A5K1K9F3', 'Q8I323', 'Q8IIJ6', 'Q8IDE7', 'Q8ILC1', 'Q8I2X4', 'Q8II43', 'C0H5H0', 'A0A5K1K8Y8', 'Q8IB24', 'Q8I3A1', 'Q8IJW0', 'Q8I3J0', 'Q8IJN9']	True	30	0.033575446613377066	0.38277565933189167
105	Q8I0U8	PF3D7_0930300	merozoite surface protein 1	['Q8I4T3', 'Q8IIX5', 'Q8IBB9', 'Q8II72', 'Q8I492', 'Q8I2F2', 'Q8I6U6', 'Q8IFM0']	True	8	0.00251065219689134	0.2798222061322794
106	O96252	PF3D7_0217100	ATP synthase subunit alpha, mitochondrial	['C6KT09', 'Q8IKH8', 'Q8I3N3', 'Q8IIM8', 'Q8IBN4', 'C6S3G2', 'Q8I0V2']	True	7	0.0010089147926267766	0.31025316822652904
107	P27362	PF3D7_0922500	phosphoglycerate kinase	['Q8IJN9', 'Q76NN6', 'Q8IIR8', 'Q8II24', 'Q8IKT2', 'Q8II61']	True	6	0.0021878799151622023	0.33656034931117484
108	Q8I2H3	PF3D7_0934500	V-type proton ATPase subunit E, putative	['Q6ZMA8', 'O97313', 'Q8IDS0', 'Q8IE84', 'Q8I0V4']	True	5	0.0003761410589920001	0.3015425094984514
109	Q8IAX5	PF3D7_0813900	40S ribosomal protein S16, putative	['Q8IE10', 'C6KT19', 'C6KT25', 'Q8IIB4', 'Q8IEK3', 'Q8IKW5', 'Q8IAX6', 'A0A5K1K8V8', 'K7NTP5', 'Q8IJX8', 'Q8I3T8', 'Q8IIM8', 'A0A5K1K910', 'Q8IJV6', 'O00806', 'Q8I3R0', 'Q8IL02', 'Q8ILL3', 'C0H5C2', 'Q8ILI2', 'Q8IKR1', 'Q8IIA2', 'Q8IKP1', 'Q8IK15', 'Q8IIV2', 'Q8IBY4', 'C6KTA4', 'Q8IBV7', 'A0A144A3N9', 'O77381', 'Q8IJC6', 'B9ZSJ2', 'Q8IM10', 'Q8IET7', 'Q8IDK7', 'Q8IAX8', 'Q8I623', 'Q8IJN7', 'O97313', 'Q8IB24', 'Q8I0P6', 'Q8ILL2', 'Q8I492', 'C0H5H0', 'Q8IJX3', 'O97285', 'Q8IIK8', 'Q8IKM5', 'Q8IDR9', 'C0H4A6', 'Q8II61', 'Q8IEQ1', 'Q8IIU8', 'Q8IIA4', 'C6KT18', 'Q8IDJ8', 'Q8IKH8', 'Q8IIV1']	True	58	0.03388450688340374	0.42610032555732164
110	Q8IBY4	PF3D7_0710600	60S ribosomal protein L34	['Q8IL02', 'Q8IAX6', 'Q8ILL3', 'Q8IL58', 'Q8I2F2', 'Q8IAX8', 'Q8IKK7', 'C6KT18', 'Q8IIA2', 'Q8ILK3', 'C6KT19', 'Q8IKM5', 'Q8IDB0', 'Q6ZMA7', 'A0A5K1K8V8', 'Q8IKH8', 'K7NTP5', 'Q8IIV1', 'Q8I0V2', 'Q8I3T8', 'Q8IE10', 'O00806', 'Q8I3R0', 'Q8IB31', 'Q8I487', 'C0H5C2', 'Q9TY99', 'Q8IIB4', 'Q8IJX8', 'Q8IAX5', 'Q8IDK7', 'O97320', 'Q8ILI2', 'Q8IIX0', 'O77381', 'Q8IIU8', 'Q8I431', 'Q8IJC6', 'Q8I0P6', 'Q8IM10', 'Q8I492', 'Q8IJV6']	True	42	0.007200753153759951	0.36960321761399256
111	Q8IJM0	PF3D7_1017900	26S proteasome regulatory subunit p55, putative	['Q8IJW0', 'Q8IJA0', 'Q8IEQ1', 'A0A5K1K9F3', 'Q8I323', 'Q8IDG3', 'Q8IKH3', 'Q8IC01', 'Q8ILC1', 'Q7K6A9', 'Q8IEK3', 'Q8IBI3', 'Q8IC05', 'C6KST3', 'Q8I261', 'Q8II71', 'Q8IAR6', 'A0A5K1K7U1', 'Q8IIJ6', 'Q8I1V1', 'Q8IDG2', 'C0H5H0']	True	22	0.004799983925990056	0.36516797900262465
112	Q8I246	PF3D7_0109800	phenylalanine--tRNA ligase alpha subunit	['Q8IBS3']	True	1	0.0	0.22225683445077582
113	Q8ILX1	PF3D7_1412300	nuclear transport factor 2, putative	['Q8I5B3', 'Q8IAM2']	True	2	0.0006942059976277446	0.25536222307875855
114	C0H5H0	PF3D7_1344200	endoplasmic reticulum chaperone GRP170	['O97282', 'Q8II43', 'Q8IFP3', 'Q8ILP6', 'C6KST3', 'Q8IEK3', 'C0H4U4', 'Q8I323', 'Q8ILE3', 'Q8IDG2', 'Q8IKB2', 'A0A5K1K963', 'A0A5K1K9F3', 'Q8IB24', 'Q8ILI2', 'Q8II71', 'Q8IIJ6', 'Q8IDE7', 'Q8IBI3', 'Q8I0V2', 'Q8IKS0', 'Q8IIF0', 'Q8I2Q0', 'K7NTP5', 'Q8IM24', 'Q8IDR9', 'Q8I3I6', 'O77323', 'Q8IEQ1', 'C0H4Y6', 'Q8IEP9', 'O96221', 'O96220', 'Q8I0P6', 'Q8II72', 'Q8I2X4', 'A0A143ZZK9', 'Q8IJW0', 'Q8IM10', 'Q8I2J3', 'Q7K6A9', 'Q8IKW5', 'Q8IIV8', 'Q8IK83', 'Q8IJN9', 'Q8IDK7', 'C0H5I7', 'Q8III6', 'A0A144A3N9', 'Q8II24', 'Q8I252', 'C6KST5', 'O96230', 'Q8ILP3', 'A0A5K1K7U1', 'Q8IKH3', 'Q8IDG3', 'Q8IAX5', 'Q8IC01', 'C6KTA4', 'A0A5K1K967', 'Q8IKP1', 'Q8ILC1', 'Q8IJM0', 'Q8I1V1', 'Q8IM45', 'Q8I5C4', 'Q8IJA0', 'Q8IDJ8']	True	69	0.1485603329099958	0.44532680366173744
115	Q8IAR6	PF3D7_0807800	26S proteasome regulatory subunit RPN10, putative	['Q8I323', 'Q8IEQ1', 'Q8IKH3', 'Q8IC05', 'Q8IKP1', 'Q8IJM0', 'Q8I1V1']	True	7	0.00013935275751146857	0.3192027788484481
116	Q8IK07	PF3D7_1002900	conserved Plasmodium protein, unknown function	['Q8I485', 'Q8IKC8']	True	2	0.0022709954589811825	0.22334432966521386
117	C6KTA4	PF3D7_0626800	pyruvate kinase	['A0A144A3N9', 'Q8IIU8', 'C0H5I7', 'Q8I2X4', 'Q8IJC6', 'Q8IKW5', 'Q8IJN9', 'Q8IAX5', 'Q8IC01', 'Q8ILK3', 'Q8IDR9', 'Q8I5C4', 'O97282', 'Q8II43', 'Q8IJI7', 'C0H5C2', 'C0H5H0', 'Q8IB24']	True	18	0.007387313008777696	0.38642114180171927
118	Q8I0V4	PF3D7_1222300	endoplasmin, putative	['Q8ILK3', 'Q8IKF0', 'Q8IB14', 'Q8I463', 'A0A144A1R5', 'O97249', 'Q8III5', 'Q7KQL5', 'O00806', 'Q8IEQ1', 'Q8I320', 'Q8IJN7', 'Q8IKK7', 'Q8I2H3']	True	14	0.011998905515031025	0.32838847032610136
119	Q8IDB8	PF3D7_1358700	YOP1-like protein, putative	['Q8II36']	True	1	0.0	0.1994363620986481
120	Q8IAU7	PF3D7_0811200	ER membrane protein complex subunit 1, putative	['Q8I2W2', 'Q8IEC8']	True	2	0.0	0.22051206461511152
121	Q8I5Y9	PF3D7_1205600	tetratricopeptide repeat protein, putative	['C0H4V6', 'Q8ILB6', 'Q8ILI6', 'Q8IDN4', 'Q76NN6', 'Q8I5H2']	True	6	0.000426515457910457	0.278117272660034
122	Q8I5H4	PF3D7_1224300	polyadenylate-binding protein 1, putative	['Q8IAX8', 'Q8IB24', 'Q7KQL5', 'O97266', 'Q8I0P6', 'Q8IIV2', 'Q8I2X4', 'Q8IDB0', 'Q8IIV1', 'C6KT19', 'Q8IJX8', 'Q8ILZ7', 'Q8IIM8', 'Q8IL02', 'A0A5K1K8V8', 'K7NTP5', 'Q8IK89', 'Q8IBV7', 'O97285', 'Q8IC43']	True	20	0.011212682103591965	0.3548765587974973
123	Q8ILL2	PF3D7_1424400	60S ribosomal protein L7-3, putative	['C6KT19', 'Q8IKK7', 'Q8IJN7', 'Q8ILK3', 'A0A5K1K8V8', 'K7NTP5', 'Q8I3T8', 'C6KT23', 'Q8IJX8', 'Q8IIB4', 'Q8IKM5', 'Q8IKH8', 'Q8I463', 'Q8II61', 'Q8IAX6', 'Q8IAX8', 'Q8IBV7', 'Q8IJ34', 'Q8IIV1', 'Q8IDR9', 'Q8IET7', 'O00806', 'O97313', 'Q8I0P6', 'C0H5C2', 'Q8IAX5', 'Q8IJX3', 'Q8IIM8', 'Q8IIV2', 'Q8IE10', 'C6KT18', 'Q8IM10']	True	32	0.002358988669901558	0.3688565444470956
124	C0H516	PF3D7_0903200	ras-related protein RAB7	['Q76NM4', 'Q8I3W9', 'Q8IHR8']	True	3	0.00014128499112462786	0.22279925503515843
125	Q8I5C4	PF3D7_1229500	T-complex protein 1 subunit gamma	['Q8IDG3', 'Q7KQL9', 'Q8IC01', 'Q8IKT2', 'Q8IKC9', 'C0H5I7', 'Q8I0U7', 'Q8IKW5', 'O96220', 'Q8IK90', 'Q8IJT1', 'C6KST3', 'Q8IAR3', 'Q8IBI3', 'C6KTA4', 'O97247', 'C6KST5', 'Q8I6T3', 'Q8II43', 'Q8IFP3', 'Q8I323', 'Q6ZLZ9', 'Q8IDF6', 'O77323', 'Q8IJN9', 'Q8IDG2', 'Q8ILA4', 'Q8I2X4', 'Q8II24', 'C0H5H0', 'O97282']	True	31	0.0060610150826768475	0.3722405494420231
126	C6KSV2	PF3D7_0610700	conserved Plasmodium protein, unknown function	['Q8IL48', 'Q8II61', 'O97282', 'Q8II43', 'Q76NN6', 'O77323', 'Q8I5B6', 'Q6ZLZ9']	True	8	0.0002697326826892722	0.33287874111451654
127	Q8III6	PF3D7_1118200	heat shock protein 90, putative	['Q8IC01', 'Q8ILC1', 'Q8IJW0', 'A0A5K1K963', 'Q8I323', 'Q8II24', 'Q8IJN9', 'Q8IDE7', 'Q8I2X4', 'C0H5H0']	True	10	0.00046271731369035486	0.34777902762154733
128	Q8II36	PF3D7_1132800	aquaglyceroporin	['Q8IDB8', 'O77312', 'A0A144A1R5']	True	3	0.005608144659370151	0.25028648320947544
129	Q8I3A4	PF3D7_0904500	prefoldin subunit 4, putative	['Q8ILS7', 'C0H4C7', 'Q8I3Y6', 'Q8IBR6', 'Q8IBZ4', 'Q8II82']	True	6	0.00513883133029424	0.2613944015766819
130	Q8IAW0	PF3D7_0812400	karyopherin alpha	['Q76NN6']	True	1	0.0	0.2657699992741082
131	Q8IEC8	PF3D7_1318800	translocation protein SEC63, putative	['Q8IL86', 'Q8I2W2', 'Q8IAU7']	True	3	0.00513883133029424	0.22064530453330794
132	O97319	PF3D7_0319600	elongation factor 1-delta, putative	['Q8ILL3', 'O77381', 'Q8I431']	True	3	0.0	0.29761041483506495
133	Q7KQL8	PF3D7_1457200	thioredoxin 1	['Q8IAM2', 'Q8IL80']	True	2	0.0	0.21840190131735926
134	Q8II71	PF3D7_1129200	26S proteasome regulatory subunit RPN7, putative	['Q8IIJ6', 'A0A5K1K7U1', 'Q7K6A9', 'Q8IDG2', 'Q8IJW0', 'C0H5H0', 'Q8IBI3', 'Q8IM03', 'A0A5K1K9F3', 'Q8I323', 'Q8IDG3', 'Q8IJM0', 'Q8IJA0', 'C6KST3', 'Q8I261']	True	15	0.005208652328657984	0.33348673881518237
135	Q6ZMA7	PF3D7_0406200	parasitophorous vacuole membrane protein S16	['Q8IL02', 'Q8I2X3', 'Q8I2F2', 'Q8IIA2', 'Q8IDB0', 'C0H571', 'Q8IBN4', 'Q8IBY4', 'Q8IIV1', 'Q8IEU2', 'Q8IFM0', 'Q7KQL5', 'Q8IBV7', 'Q8IJM9', 'Q9TY99', 'Q8IIM8', 'Q8IB24', 'Q8IIX5', 'Q8IJ76', 'Q8IIV2', 'Q8IIF0', 'Q8IBB9', 'C6KT19', 'Q8IM45', 'Q8IC43', 'Q8I0P6', 'Q8II72', 'K7NTP5', 'Q8I2F4', 'Q8IJC6', 'Q8I3R0', 'Q8IKY4']	True	32	0.024333548548733857	0.36012621203414663
136	A0A5K1K9E5	PF3D7_0801400	conserved Plasmodium protein, unknown function	['Q8I0V2', 'Q8IEU2', 'Q8I484', 'Q8IDR9', 'Q8IAX6', 'C0H571']	True	6	0.0028809541169334293	0.3129117215103896
137	C6KT55	PF3D7_0621800	nascent polypeptide-associated complex subunit alpha, putative	['Q8ILS7', 'Q76NN6']	True	2	9.863948425904491e-05	0.2677184596793436
138	Q76NM3	PF3D7_1324900	L-lactate dehydrogenase	['Q8I5B6', 'Q8IE66', 'Q8III8', 'Q8IK90', 'Q8I5P5', 'A0A144A3N9', 'Q8I566', 'Q8IC01', 'C6KST3', 'Q76NN6', 'Q8I261']	True	11	0.0035710174662983425	0.33470942163393647
139	Q8I2W2	PF3D7_0919100	DnaJ protein, putative	['Q8IAU7', 'Q8II24', 'Q8IEC8']	True	3	0.01533360961458765	0.2839564377936428
140	O97320	PF3D7_0320900	histone H2A.Z	['Q8IDB0', 'Q8I463', 'Q7KQL5', 'Q8IL02', 'Q8IB31', 'Q8IBY4', 'Q8IBV7', 'C6KT19']	True	8	0.0001704391378946842	0.3131800849079114
141	Q8IJ28	PF3D7_1038000	antigen UB05	['Q8IJM9', 'C6KSV8']	True	2	2.7424977450574097e-05	0.240400249507982
143	C6KTA3	PF3D7_0626700	ATPase	['A0A5K1K967', 'Q8IFP3', 'Q8ILQ7', 'Q8IL48', 'Q8I566', 'Q8I5B6', 'C6KT25', 'Q8I0X1', 'Q8IJN9', 'Q8ILA4', 'P61076', 'Q8IDN4', 'Q8IKT2', 'Q8IAM2', 'Q8IL11']	True	15	0.00876660382735769	0.3248825435966412
144	Q8IIX0	PF3D7_1103100	60S acidic ribosomal protein P1, putative	['Q8ILK3', 'Q8I463', 'A0A144A1R5', 'O97249', 'O00806', 'Q8IKK7', 'Q8I320', 'Q8IKH8', 'Q8IBY4', 'Q8IL02']	True	10	0.0003020694690512609	0.31157677389302446
145	Q8ILL3	PF3D7_1424100	60S ribosomal protein L5, putative	['Q8IKK7', 'Q8I4U5', 'Q8II24', 'C6KT25', 'Q8IBY4', 'K7NTP5', 'Q8ID28', 'Q8I3T8', 'O00806', 'Q8I3R0', 'C6KT23', 'Q8IKR1', 'Q8IDB0', 'Q8I487', 'C0H5C2', 'Q8IAX5', 'A0A5K1K8Y8', 'Q8IEK3', 'Q8IDJ8', 'Q8IIB4', 'Q8IB24', 'Q8IIU8', 'Q8IE10', 'O97319', 'Q6ZMA8', 'Q8IKW5', 'Q8IJC6', 'Q8IIV1', 'Q8I566', 'Q8ILI2', 'O77381', 'Q8ILK3', 'Q8IM10', 'Q8I431', 'Q8IL02', 'Q8IK83', 'O97313', 'Q8I0P6', 'Q8IC43', 'Q8IKM5', 'Q8IIA2', 'Q8I320', 'Q8IDK7', 'C0H4A6', 'Q8IAX8', 'Q8IEQ1', 'Q8IJ34', 'Q8IDR9']	True	48	0.012424277385214302	0.3860126627934722
146	Q8IDG2	PF3D7_1353900	proteasome subunit alpha type-7, putative	['Q8II43', 'A0A5K1K7U1', 'C0H5I7', 'C0H5H0', 'O97282', 'Q8IAR3', 'Q8II71', 'Q8IDG3', 'C6KT34', 'Q8IKC9', 'Q8I6T3', 'A0A5K1K9F3', 'Q8I323', 'Q8I0U7', 'O77323', 'Q8IJW0', 'O77396', 'O96153', 'O96220', 'Q8IJN9', 'Q7K6A9', 'Q8IK90', 'Q8IBI3', 'C6KST3', 'Q8I261', 'Q8IJT1', 'C0H4C7', 'Q8I5C4', 'C6KST5', 'Q8IJM0', 'Q8IJA0']	True	31	0.003009612185656275	0.35146100000252617
147	Q8IDB0	PF3D7_1358800	40S ribosomal protein S15	['O97320', 'Q8IL94', 'Q8IJC6', 'Q8IIB4', 'Q8IJV6', 'C6KT19', 'Q8IL02', 'Q8ILL3', 'Q6ZMA7', 'C6KT25', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8I3T8', 'Q8IIA2', 'Q8ILK3', 'Q8IKF0', 'Q8I431', 'C6KT23', 'Q8I5H4', 'Q8I487', 'Q8I1V1', 'Q8IJ34', 'Q8IE10', 'Q8IC05', 'Q8I463', 'A0A144A1R5', 'Q9TY99', 'Q8IAX6', 'Q8IM10', 'C0H4A6', 'Q8IAX8', 'Q8IDK7', 'O77381', 'Q8IL58', 'Q76NM6', 'Q7KQL5', 'Q8I0V2', 'Q8IFP2', 'Q8I3R0', 'Q8I0P6', 'Q8IKM5', 'Q8IB31', 'C0H5C2', 'Q8IEQ1', 'Q8IIU8', 'Q8IE66', 'Q8IKH8', 'Q8IIV1']	True	49	0.016264009314643172	0.3930764036626746
148	Q8IL86	PF3D7_1438100	translocation protein SEC62, putative	['Q8IEC8']	True	1	0.0	0.18015193833380597
149	Q8IAX6	PF3D7_0814000	60S ribosomal protein L13-2, putative	['O00806', 'Q8I3R0', 'Q8IIV2', 'C6KT23', 'Q8IBY4', 'C0H5C2', 'Q8I2X4', 'Q8IAX5', 'Q8IC43', 'Q8IJC6', 'Q8IM10', 'Q8IET7', 'Q8IL58', 'Q8ILL2', 'Q8ILK3', 'Q8IKM5', 'Q8IDB0', 'Q8IDR9', 'O97313', 'Q8II61', 'Q8IIU8', 'Q8I0P6', 'Q8IKH8', 'Q8IE10', 'Q8IL75', 'Q8IIB4', 'A0A5K1K9E5', 'C6KT18', 'Q8IL02', 'A0A5K1K8V8', 'Q8IIA2', 'Q8I3T8']	True	32	0.004353868501080128	0.37841241347422244
150	Q8IB60	PF3D7_0822600	protein transport protein SEC23	['O96221', 'Q8IKW5', 'Q8I5B3', 'Q8I1S0']	True	4	0.0013798052557365498	0.30481467362489534
151	Q8IM55	PF3D7_1403900	serine/threonine protein phosphatase CPPED1, putative	['Q76NN6', 'Q8IFP3']	True	2	0.0	0.293779548674678
